frame,time_sec,mediapipe_processed,hand_detected,thumb_x,thumb_y,index_x,index_y,middle_x,middle_y,wrist_x,wrist_y,active_x,active_y,active_std_reference_distance,active_x_std_px,active_y_std_px,active_std_total_px,active_x_std_norm,active_y_std_norm,active_std_total_norm,active_std_valid_frames,reference_distance,thumb_index_ratio,index_middle_ratio,thumb_middle_ratio,pinch_detected,pinch_detected_frame_count,thumb_ip_angle,index_pip_angle,middle_pip_angle,direction_sign_x,direction_sign_y,rolling_direction_change_count_x,rolling_direction_change_count_y,rolling_repetition_count
101,3.3333333333333335,0,1,627.3479080200195,263.5679340362549,561.1050796508789,356.54311180114746,540.3798675537109,372.8114318847656,521.2371826171875,167.5160264968872,594.2264938354492,310.0555229187012,,,,,,,,0,94.14700988053397,1.2125712548717043,0.2798552610724504,1.483145796184813,0,0,167.07957729368732,174.90503135114605,178.63857492273252,0,0,0,0,0
102,3.3666666666666667,1,1,627.003288269043,263.72694969177246,560.8684921264648,356.7181205749512,540.5905914306641,372.799015045166,520.7584381103516,166.88332557678223,593.9358901977539,310.2225351333618,,,,,,,,0,94.60890403978826,1.2061268297350833,0.27355005531622895,1.4708353639371476,0,0,167.02203090285545,175.2903108062363,178.32497058364473,0,0,0,0,0
103,3.4,0,1,627.003288269043,263.72694969177246,560.8684921264648,356.7181205749512,540.5905914306641,372.799015045166,520.7584381103516,166.88332557678223,593.9358901977539,310.2225351333618,,,,,,,,0,94.60890403978826,1.2061268297350833,0.27355005531622895,1.4708353639371476,0,0,167.02203090285545,175.2903108062363,178.32497058364473,0,0,0,0,0
104,3.433333333333333,0,1,627.003288269043,263.72694969177246,560.8684921264648,356.7181205749512,540.5905914306641,372.799015045166,520.7584381103516,166.88332557678223,593.9358901977539,310.2225351333618,,,,,,,,0,94.60890403978826,1.2061268297350833,0.27355005531622895,1.4708353639371476,0,0,167.02203090285545,175.2903108062363,178.32497058364473,0,0,0,0,0
105,3.466666666666667,1,1,627.3156356811523,262.5266647338867,562.1405029296875,355.7087516784668,541.8528747558594,372.7129554748535,521.0586166381836,166.40145778656006,594.7280693054199,309.11770820617676,,,,,,,,0,94.95884105419778,1.1975002146783842,0.27876625393869425,1.4684781055242015,0,0,168.12372973904345,175.11769389404768,178.39440604545794,0,0,0,0,0
106,3.5,0,1,627.3156356811523,262.5266647338867,562.1405029296875,355.7087516784668,541.8528747558594,372.7129554748535,521.0586166381836,166.40145778656006,594.7280693054199,309.11770820617676,,,,,,,,0,94.95884105419778,1.1975002146783842,0.27876625393869425,1.4684781055242015,0,0,168.12372973904345,175.11769389404768,178.39440604545794,0,0,0,0,0
107,3.533333333333333,0,1,627.3156356811523,262.5266647338867,562.1405029296875,355.7087516784668,541.8528747558594,372.7129554748535,521.0586166381836,166.40145778656006,594.7280693054199,309.11770820617676,,,,,,,,0,94.95884105419778,1.1975002146783842,0.27876625393869425,1.4684781055242015,0,0,168.12372973904345,175.11769389404768,178.39440604545794,0,0,0,0,0
108,3.566666666666667,1,1,627.9755401611328,264.1369342803955,562.0978927612305,355.9943389892578,541.5537643432617,371.9253158569336,520.8198547363281,167.1313762664795,595.0367164611816,310.06563663482666,,,,,,,,0,93.23592486918777,1.2123894920164469,0.27883301890231454,1.4817884984376228,0,0,169.4378159361313,174.37753986776158,177.84123907830812,0,0,0,0,0
109,3.6,0,1,627.9755401611328,264.1369342803955,562.0978927612305,355.9943389892578,541.5537643432617,371.9253158569336,520.8198547363281,167.1313762664795,595.0367164611816,310.06563663482666,,,,,,,,0,93.23592486918777,1.2123894920164469,0.27883301890231454,1.4817884984376228,0,0,169.4378159361313,174.37753986776158,177.84123907830812,0,0,0,0,0
110,3.6333333333333333,0,1,627.9755401611328,264.1369342803955,562.0978927612305,355.9943389892578,541.5537643432617,371.9253158569336,520.8198547363281,167.1313762664795,595.0367164611816,310.06563663482666,,,,,,,,0,93.23592486918777,1.2123894920164469,0.27883301890231454,1.4817884984376228,0,0,169.4378159361313,174.37753986776158,177.84123907830812,0,0,0,0,0
111,3.6666666666666665,1,1,626.6244888305664,263.32194328308105,561.0027313232422,356.27869606018066,541.2144470214844,371.4879512786865,519.60205078125,166.9384002685547,593.8136100769043,309.80031967163086,,,,,,,,0,95.17277419624543,1.195569275822348,0.2622379939012226,1.4481187693667423,0,0,164.10375651814556,174.76347719558893,177.77472048450818,0,0,0,0,0
112,3.7,0,1,626.6244888305664,263.32194328308105,561.0027313232422,356.27869606018066,541.2144470214844,371.4879512786865,519.60205078125,166.9384002685547,593.8136100769043,309.80031967163086,,,,,,,,0,95.17277419624543,1.195569275822348,0.2622379939012226,1.4481187693667423,0,0,164.10375651814556,174.76347719558893,177.77472048450818,0,0,0,0,0
113,3.7333333333333334,0,1,626.6244888305664,263.32194328308105,561.0027313232422,356.27869606018066,541.2144470214844,371.4879512786865,519.60205078125,166.9384002685547,593.8136100769043,309.80031967163086,,,,,,,,0,95.17277419624543,1.195569275822348,0.2622379939012226,1.4481187693667423,0,0,164.10375651814556,174.76347719558893,177.77472048450818,0,0,0,0,0
114,3.7666666666666666,1,1,627.2655868530273,264.0458106994629,560.867805480957,357.2668933868408,540.2724075317383,373.03547859191895,519.8366546630859,166.85437202453613,594.0666961669922,310.65635204315186,,,,,,,,0,94.30889980553064,1.213566746778141,0.2750403088525381,1.478661366862109,0,0,167.33754190089584,174.8959255571427,177.41812922138297,0,0,0,0,0
115,3.8,0,1,627.2655868530273,264.0458106994629,560.867805480957,357.2668933868408,540.2724075317383,373.03547859191895,519.8366546630859,166.85437202453613,594.0666961669922,310.65635204315186,,,,,,,,0,94.30889980553064,1.213566746778141,0.2750403088525381,1.478661366862109,0,0,167.33754190089584,174.8959255571427,177.41812922138297,0,0,0,0,0
116,3.8333333333333335,0,1,627.2655868530273,264.0458106994629,560.867805480957,357.2668933868408,540.2724075317383,373.03547859191895,519.8366546630859,166.85437202453613,594.0666961669922,310.65635204315186,,,,,,,,0,94.30889980553064,1.213566746778141,0.2750403088525381,1.478661366862109,0,0,167.33754190089584,174.8959255571427,177.41812922138297,0,0,0,0,0
117,3.8666666666666667,1,1,627.3526000976562,264.09753799438477,560.9081268310547,356.8502998352051,541.047477722168,372.78968811035156,520.0257110595703,167.5037670135498,594.1303634643555,310.4739189147949,,,,,,,,0,94.96781858843,1.2014196146244605,0.2681524088788444,1.4614383962022144,0,0,166.13417269879213,175.3010957650072,178.0563987843084,0,0,0,0,0
